name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature1,screen_feature2,processor_name,processor_speed,no_cores,caches,graphics_card,rom_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,800",70,97 votes ,4.3,OS: Windows 11,Utility: Gaming,Thickness: 23.5 mmThick,2.29 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"52.5 Wh, 3 Cell BatteryGood",Touch Screen,Anti Glare,5th Gen AMD Ryzen 5 5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, AMD Radeon RX 6500M GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),"₹1,02,990",78,71 votes ,4.3,OS: Windows 11,Utility: Gaming,Thickness: 23.45 mmThick,2.7 kgHeavy,1 Year Warranty,16.1 inchesLarge,2560 x 1600 pixelsGood,~ 188 PPIHigh,80 Wh BatteryGood,Anti Glare,,14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"24 Cores (8P + 16E), 32 Threads",36 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMLargest,1 TB SSD,"HDMI, Display Port, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.3","1 x USB 2.0, 3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹23,990",56,177 votes ,4.4,OS: Windows 11,Utility: Performance,Thickness: 14.8 mmUltra Slim,1.56 kgAverage,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 141 PPIAverage,70 Wh BatteryGood,Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel UHD Graphics Graphics,8 GB LPDDR4 RAMLargest,512 GB SSD,HDMI,"WiFi, Bluetooth","3 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹62,990",60,"1,511 votes • 23 reviews",4.5,OS: Windows 11,Utility: Everyday Use,Thickness: 11.2 mmSlim,870 gLight,1 Year Warranty,13.3 inchesSmall,1080 x 1920 pixelsAverage,~ 166 PPIHigh,,Anti Glare,,12th Gen Intel Core i5 1240P,4 x 1.7 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12 MB Cache,Intel Iris Xe Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","1 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),"₹79,990",43,"20,380 votes • 43 reviews",4.7,OS: Mac,Utility: Performance,Thickness: 16.1 mmSlim,1.29 kgLight,1 Year Warranty,13.3 inchesSmall,2560 x 1600 pixelsGood,~ 227 PPIHigh,49.9 Wh BatteryGood,,,Apple M1,4 x (Turbo Speed upto 3.2 GHz) Performance Cores4 x (Turbo Speed upto 2.1 GHz) Efficient Cores,Octa Core (4P + 4E),Apple M1 Integrated Graphics Graphics,8 GB DDR4 RAMSmallest,256 GB SSD,,Thunderbolt,"WiFi, Bluetooth v5.0","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,780",55,205 votes • 14 reviews,4.3,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.65 kgAverage,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 147 PPIHigh,,Anti Glare,,7th Gen AMD Ryzen 3 7320U,4 x 2.4 GHz (Turbo Speed upto 4.1 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon Graphics Graphics,8 GB LPDDR5 RAMLargest,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,990",55,"3,400 votes • 32 reviews",4.2,OS: Windows 11,Utility: Everyday Use,Thickness: 17.9 mmSlim,1.69 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",56,111 votes ,4.0,OS: Windows 11,Utility: Performance,Thickness: 17.9 mmSlim,1.69 kgAverage,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹52,990",59,88 votes • 6 reviews,4.5,OS: Windows 11,Utility: Performance,1.7 kgAverage,1 Year Warranty,,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"42 Wh, 3 Cell BatteryGood",Anti Glare,16:09 Aspect Ratio,12th Gen Intel Core i5 12500H,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 1.8 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18 MB Cache,Intel Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),"₹99,900",47,"5,622 votes • 49 reviews",4.7,OS: Mac,Utility: Performance,Thickness: 11.3 mmSlim,1.24 kgLight,1 Year Warranty,13.6 inchesSmall,2560 x 1664 pixelsGood,~ 224 PPIHigh,52.6 Wh BatteryGood,,,Apple M2,4 x (Turbo Speed upto 3.5 GHz) Performance Cores4 x (Turbo Speed upto 2.4 GHz) Efficient Cores,Octa Core (4P + 4E),16 MB Cache,8-Core GPU Graphics,8 GB DDR4 RAMSmallest,256 GB SSD,"Display Port, Thunderbolt","WiFi, Bluetooth v5.0",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹32,990",64,309 votes • 15 reviews,4.1,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.76 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,38.5 Wh BatteryGood,16:9   Aspect Ratio,,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated Graphics,16 GB DDR4 RAMLargest,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C",2 MP Camera
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹81,490",73,145 votes ,4.2,OS: Windows 11,Utility: Gaming,Thickness: 24 mmThick,2.48 kgHeavy,1 Year Warranty,16.1 inchesLarge,1920 x 1080 pixelsAverage,~ 137 PPILow,"70 Wh, 4 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,7th Gen AMD Ryzen 7 7840HS,8 x 3.8 GHz (Turbo Speed upto 5.1 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.3","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹24,990",51,"1,369 votes • 27 reviews",4.2,OS: Windows 11,"Utility: Business, Performance",1.6 kgAverage,1 Year Warranty,,15.6 inchesLargest,1080 x 1920 pixelsAverage,~ 141 PPIAverage,17.85 Wh BatteryGood,Anti Glare,,11th Gen Intel Core i5 1135G7,4 x 2.4 GHz (Turbo Speed upto 4.2 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,Intel Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,990",56,"1,492 votes • 20 reviews",4.2,OS: Windows 11,"Utility: Everyday Use, Business, Performance",Thickness: 21 mmThick,1.65 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Display Port, Multi Card Reader","WiFi, Bluetooth v5.2","1 x USB 2.0, 2 x USB 3.0",Inbuilt Microphone
Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,749",57,772 votes • 21 reviews,4.1,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.74 kgHeavy,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 147 PPIHigh,,Anti Glare,,5th Gen AMD Ryzen 3 5300U,4 x 2.6 GHz (Turbo Speed upto 3.8 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C",1 MP Camera
HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,990",64,107 votes ,4.3,OS: Windows 11,Utility: Gaming,Thickness: 22.5 mmThick,2.37 kgHeavy,1 Year Warranty,16.1 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,3 Cell Battery,Anti Glare,,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","1 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),"₹79,990",55,98 votes ,4.5,OS: Windows 11,"Utility: Everyday Use, Business",Thickness: 15.4 mmSlim,1.55 kgLight,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,54 Wh BatteryGood,Anti Glare,,Intel Core 5 Processor Series 1 120U,2 x 1.4 GHz (Turbo Speed upto 5 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Graphics Graphics,16 GB LPDDR4x RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),"₹74,990",53,70 votes ,4.7,OS: Windows 11,"Utility: Everyday Use, Business",Thickness: 15.4 mmSlim,1.55 kgLight,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,54 Wh BatteryGood,Anti Glare,,Intel Core 5 Processor Series 1 120U,2 x 1.4 GHz (Turbo Speed upto 5 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Graphics Graphics,8 GB LPDDR4x RAMSmallest,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹39,990",55,63 votes ,4.8,OS: Windows 11,Utility: Performance,Thickness: 17.9 mmSlim,1.46 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 157 PPIHigh,"41 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel Integrated UHD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),"₹43,990",66,212 votes • 3 reviews,4.1,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.76 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,38.5 Wh BatteryGood,16:9   Aspect Ratio,,12th Gen Intel Core i7 1255U,2 x 1.7 GHz (Turbo Speed upto 4.7 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated Graphics,16 GB DDR4 RAMLargest,1 TB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C",2 MP Camera
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹74,990",71,312 votes • 2 reviews,4.3,OS: Windows 11,"Utility: Gaming, Performance",Thickness: 22.8 mmThick,2.2 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"90 Wh, 4 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i7 11800H,8 x 2.3 GHz (Turbo Speed upto 4.6 GHz) Cores,"Octa Core, 16 Threads",24 MB Cache,"4 GB, NVIDIA GeForce RTX 3050 Ti GraphicsAverage",16 GB DDR4 RAMAverage,1 TB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,490",69,78 votes ,4.2,OS: Windows 11,Utility: Gaming,Thickness: 22.5 mmThick,2.37 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,4 Cell Battery,Anti Glare,16:9 Aspect Ratio,7th Gen Amd Ryzen 5 7535HS,6 x 3.3 GHz (Turbo Speed upto 4.55 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",64,248 votes • 13 reviews,4.3,OS: Windows 11,Utility: Gaming,Thickness: 25.2 mmThick,2.4 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 184 PPIHigh,"60 Wh, 3 Cell BatteryGood",Anti Glare,16:10 Aspect Ratio,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),"₹1,14,900",46,104 votes ,4.3,OS: Mac,Utility: Performance,Thickness: 11.3 mmSlim,1.24 kgLight,1 Year Warranty,13.6 inchesSmall,2560 x 1664 pixelsGood,~ 224 PPIHigh,52.6 Wh BatteryGood,,,Apple M3,4 x Performance Cores4 x Efficient Cores,Octa Core (4P + 4E),Apple 8 Core GPU Graphics,8 GB RAMSmallest,256 GB SSD,,Thunderbolt,"WiFi, Bluetooth v5.3",2 x USB Type-C,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),"₹74,990",68,544 votes • 22 reviews,4.0,OS: Windows 11,Utility: Performance,Thickness: 16.95 mmSlim,1.8 kgAverage,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,70 Wh BatteryGood,Anti Glare,16:9 Aspect Ratio,13th Gen Intel Core i9 13900H,6 x 2.6 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.9 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"14 Cores (6P + 8E), 20 Threads",24 MB Cache,Intel Integrated Iris Xe Graphics,32 GB LPDDR5X RAMLargest,1 TB SSD,"HDMI, Display Port","WiFi, Bluetooth v5.2","2 x USB 2.0, 2 x USB 3.0","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),"₹99,990",74,344 votes • 14 reviews,4.4,OS: Windows 11,Utility: Performance,Thickness: 22.4 mmAverage,2.2 kgAverage,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"90 Wh, 4 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,12th Gen Intel Core i7 12700H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores8 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"14 Cores (6P + 8E), 20 Threads",24 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR4 RAMLargest,512 GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,990",64,"1,205 votes • 16 reviews",4.4,OS: Windows 11,"Utility: Gaming, Performance",Thickness: 24.5 mmThick,2.3 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"90 Wh, 3 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i5 11400H ,6 x 2.2 GHz (Turbo Speed upto 4.5 GHz) Cores,"Hexa Core, 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹42,990",54,"2,534 votes • 19 reviews",4.3,OS: Windows 11,"Utility: Business, Performance",Thickness: 18.5 mmSlim,1.8 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"43 Wh, 4 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated UHD Graphics,8 GB LPDDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","1 x USB 2.0, 1 x USB 3.0, 2 x USB Type-C",Inbuilt Microphone
Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹55,390",57,84 votes ,4.4,OS: Windows 11,Utility: Business,Thickness: 17.9 mmSlim,1.37 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 157 PPIHigh,"47 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,Intel Integrated UHD Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹89,999",70,65 votes ,4.6,OS: Windows 11,Utility: Performance,1 Year Warranty,,,15.6 inchesAverage,2560 x 1440 pixelsGood,~ 188 PPIHigh,,Anti Glare,16:9 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores4 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Display Port","WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹79,990",68,108 votes ,4.1,OS: Windows 11,Utility: Gaming,Thickness: 26.9 mmThick,2.65 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"56 Wh, 3 Cell BatteryGood",Anti Glare,,13th Gen Intel Core i5 13450HX,6 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",20 MB Cache,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹84,990",74,93 votes ,4.6,OS: Windows 11,"Utility: Performance, Gaming",Thickness: 16.9 mmSlim,1.3 kgLight,1 Year Warranty,13.4 inchesSmall,1920 x 1200 pixelsGood,~ 169 PPIHigh,"62 Wh, 4 Cell BatteryGood",Touch Screen,Anti Glare,6th Gen AMD Ryzen 9 6900HS​,8 x 3.3 GHz (Turbo Speed upto 4.9 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,"4 GB, ‎NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB LPDDR5 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.2","3 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
