name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature1,screen_feature2,processor_name,processor_speed,no_cores,caches,graphics_card,rom_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹68,990",59,55 votes ,4.3,OS: Windows 11,"Utility: Everyday Use, Gaming, Performance",Thickness: 18.9 mmAverage,1 Year Warranty,,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,70 Wh BatteryGood,Anti Glare,16:9 Aspect Ratio,5th Gen AMD Ryzen 5 5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, NVIDIA GeForce RTX 3050 GPU GraphicsAverage",16 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.3","2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹85,990",71,119 votes ,4.6,OS: Windows 11,Utility: Gaming,Thickness: 22.5 mmThick,2.29 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 137 PPILow,"70 Wh, 4 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores4 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24 MB Cache,"4 GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB DDR4 RAMAverage,1 TB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Acer TMP214-41-G3 UN.VSQSI.006 Notebook (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹32,990",55,187 votes • 5 reviews,4.4,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.59 kgLight,1 Year Warranty,14 inchesSmall,1366 x 768 pixelsPoor,~ 112 PPILow,"48 Wh, 3 Cell BatteryGood",,,5th Gen AMD Ryzen 5 5500U,6 x 2.1 GHz (Turbo Speed upto 4 GHz) Cores,"Hexa Core, 12 Threads",8 MB Cache,AMD Radeon AMD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, VGA, Multi Card Reader","WiFi, Bluetooth","3 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
Asus VivoBook 15 X1504ZA-NJ326WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,990",52,117 votes ,4.5,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.7 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,3 Cell Battery,Anti Glare,16:09 Aspect Ratio,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Integrated Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.3","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹47,990",57,947 votes • 14 reviews,4.4,OS: Windows 11,Utility: Gaming,1 Year Warranty,,,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"52.5 Wh, 3 Cell BatteryGood",Anti Glare,,5th Gen AMD Ryzen 5  5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, AMD Radeon AMD Radeon RX 6500M GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹81,990",54,93 votes ,4.1,OS: Windows 11,Utility: Everyday Use,1 Year Warranty,,,14 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"54 Wh, 4 Cell BatteryGood",Anti Glare,,13th Gen Intel Core i7 1355U,2 x (Turbo Speed upto 5 GHz) Performance Cores8 x (Turbo Speed upto 3.7 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Iris Xe Graphics Graphics,16 GB LPDDR5  RAMAverage,1 TB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth","2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Lenovo IdeaPad 3 82KU024JIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),"₹48,290",60,469 votes • 19 reviews,4.2,OS: Windows 11,Utility: Performance,Thickness: 19.9 mmAverage,1.65 kgLight,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"45 Wh, 3 Cell BatteryGood",Anti Glare,,5th Gen AMD Ryzen 7 5700U,8 x 1.8 GHz (Turbo Speed upto 4.3 GHz) Cores,"Octa Core, 16 Threads",8 MB Cache,AMD Radeon AMD Graphics,16 GB DDR4 RAMLarge,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.1","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Dell Vostro 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹36,990",54,747 votes ,3.9,OS: Windows 11,"Utility: Everyday Use, Business, Performance",1.66 kgAverage,1 Year Warranty,,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,3 Cell Battery,Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.1",3 x USB 3.0,Inbuilt Microphone
HP Victus 15-fb1018AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹54,990",61,89 votes ,4.8,OS: Windows 11,Utility: Gaming,1 Year Warranty,,,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"52.5 Wh, 4 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,7th Gen Amd Ryzen 5 7535HS,6 x 3.3 GHz (Turbo Speed upto 4.55 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8 GB DDR5 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,990",64,"3,714 votes • 3 reviews",4.3,OS: Windows 11,Utility: Gaming,Thickness: 22.8 mmThick,2.3 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,3 Cell Battery,Anti Glare,16:9 Aspect Ratio,11th Gen Intel Core i5 11260H,6 x 2.1 GHz (Turbo Speed upto 4.4 GHz) Cores,"Hexa Core, 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.3","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
HP Omen 16-wf0056TX 834U0PA Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),"₹1,53,490",65,74 votes ,4.3,OS: Windows 11,"Utility: Everyday Use, Gaming",Thickness: 259.4 mmThick,2.35 kgHeavy,1 Year Warranty,16.1 inchesLarge,1920 x 1080 pixelsBad,~ 137 PPILow,"83 Wh, 6 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,13th Gen Intel Core i7 13700HX,8 x (Turbo Speed upto 5 GHz) Performance Cores8 x (Turbo Speed upto 3.7 GHz) Efficient Cores,"16 Cores (8P + 8E), 24 Threads",30 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsAverage",16 GB DDR5 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone",
HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),"₹34,000",47,118 votes • 1 reviews,4.3,OS: Windows 11,Utility: Everyday Use,Thickness: 242 mmThickest,1.7 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"41 Wh, 3 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,3rd Gen AMD Ryzen 3  3250U,2 x 2.6 GHz (Turbo Speed upto 3.5 GHz) Cores,"Dual Core, 4 Threads",4 MB Cache,AMD Radeon Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0",1 x USB Type-C,
Asus Vivobook Pro 15 M6500QF-HN541WS Creator Laptop (AMD Ryzen 5 5600H/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),"₹57,990",59,74 votes ,4.8,OS: Windows 11,"Utility: Everyday Use, Performance",Thickness: 234.3 mmThick,1.8 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,"50 Wh, 3 Cell BatteryGood",Anti Glare,16:9 Aspect Ratio,5th Gen AMD Ryzen 5  5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,"4 GB, NVIDIA GeForce GTX 2050 GraphicsLargest",16 GB DDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.3",1 x USB Type-C,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
Lenovo IdeaPad Slim 5 14IAH8 83BF0045IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹62,990",56,76 votes ,4.6,OS: Windows 11,Utility: Everyday Use,1.46 kgLight,1 Year Warranty,,14 inchesSmall,1920 x 1200 pixelsGood,~ 157 PPIHigh,"56.6 Wh, 3 Cell BatteryGood",Anti Glare,,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,Intel Graphics Graphics,16 GB LPDDR5 RAMAverage,1 TB SSD,HDMI,"WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
MSI Modern 14 C12M-459IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹52,010",56,154 votes ,4.4,OS: Windows 11,Utility: Performance,Thickness: 19.35 mmAverage,1.4 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 157 PPIHigh,3 Cell Battery,,,12th Gen Intel Core i7 1255U,2 x 1.7 GHz (Turbo Speed upto 4.7 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMLarge,512 GB SSD,HDMI,"WiFi, Bluetooth v5.2","2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Asus Vivobook Go 14 2023 E1404FA-NK325WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),"₹35,990",52,105 votes ,4.6,OS: Windows 11,Utility: Performance,Thickness: 17.9 mmSlim,1.38 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 141 PPIAverage,3 Cell Battery,Anti Glare,16:9 Aspect Ratio,7th Gen AMD Ryzen 3 7320U,4 x 2.4 GHz (Turbo Speed upto 4.1 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon AMD Graphics,8 GB LPDDR5 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹59,990",54,158 votes • 17 reviews,4.1,OS: Windows 11,"Utility: Business, Performance",Thickness: 16.3 mmSlim,1.48 kgLight,1 Year Warranty,14 inchesSmall,1080 x 1920 pixelsAverage,~ 157 PPIHigh,17.85 Wh BatteryGood,Anti Glare,,11th Gen Intel Core i7 1165G7,4 x 1.2 GHz (Turbo Speed upto 4.7 GHz) Cores,"Quad Core, 8 Threads",12 MB Cache,Intel Graphics Graphics,16 GB LPDDR4 RAMAverage,512 GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Wings Nuvobook S2 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹24,990",46,541 votes • 11 reviews,4.3,OS: Windows 11,"Utility: Business, Performance",Thickness: 18.4 mmSlim,1.6 kgAverage,1 Year Warranty,15.6 inchesLargest,1080 x 1920 pixelsAverage,~ 141 PPIAverage,17.85 Wh BatteryGood,Anti Glare,,11th Gen Intel Core i3 1125G4,4 x (Turbo Speed upto 3.7 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,Intel Graphics Graphics,8 GB LPDDR4 RAMLargest,512 GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹23,990",45,575 votes • 7 reviews,4.3,OS: Windows 11,"Utility: Business, Performance",Thickness: 18.4 mmSlim,1.6 kgAverage,1 Year Warranty,15.6 inchesLargest,1080 x 1920 pixelsAverage,~ 141 PPIAverage,17.85 Wh BatteryGood,Anti Glare,,11th Gen Intel Core i3 1125G4,4 x (Turbo Speed upto 3.7 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,Intel Graphics Graphics,8 GB LPDDR4 RAMLargest,256 GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),"₹29,990",50,191 votes • 17 reviews,3.7,OS: Windows 11,Utility: Performance,1.3 kgLight,1 Year Warranty,,14.1 inchesSmall,1920 x 1080 pixelsAverage,~ 156 PPIHigh,,,,10th Gen Intel Core i5 1035G4,4 x 1.1 GHz (Turbo Speed upto 3.7 GHz) Cores,"Quad Core, 8 Threads",6 MB Cache,Intel Integrated Iris Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
